"Player";"Position";"Team"
"Abdelkader, Justin";"LW";"DET"
"Acton, Will";"C";"EDM"
"Adam, Luke";"C";"NYR"
"Agostino, Ken";"LW";"CGY"
"Agozzino, Andrew";"LW";"COL"
"Aittokallio, Sami";"G";"COL"
"Akeson, Jason";"C";"BUF"
"Allen, Bryan";"D";"MTL"
"Allen, Conor";"D";"NSH"
"Allen, Jake";"G";"STL"
"Alt, Mark";"D";"PHI"
"Alzner, Karl";"D";"WAS"
"Andersen, Frederik";"G";"ANA"
"Anderson, Craig";"G";"OTT"
"Anderson, Josh";"RW";"CBS"
"Andersson, Joakim";"C";"DET"
"Andreoff, Andy";"C";"LAK"
"Andrighetto, Sven";"RW";"MTL"
"Angelidis, Mike";"LW";"TAM"
"Anisimov, Artem";"C";"CHI"
"Arcobello, Mark";"C";"TOR"
"Armia, Joel";"RW";"WPG"
"Arnold, Bill";"C";"CGY"
"Aronson, Taylor";"D";"NSH"
"Arvidsson, Viktor";"RW";"NSH"
"Ashton, Carter";"RW";"TOR"
"Atkinson, Cam";"RW";"CBS"
"Aubry, Louis-Marc";"LW";"DET"
"Bachman, Richard";"G";"VAN"
"Backes, David";"C";"STL"
"Backlund, Mikael";"C";"CGY"
"Backstrom, Nicklas";"C";"WAS"
"Backstrom, Niklas";"G";"MIN"
"Baertschi, Sven";"LW";"VAN"
"Bailey, Casey";"C";"TOR"
"Bailey, Josh";"LW";"NYI"
"Bang, Daniel";"LW";"NSH"
"Barberio, Mark";"D";"MTL"
"Barkov, Aleksander";"C";"FLA"
"Barrie, Tyson";"D";"COL"
"Bartkowski, Matt";"D";"VAN"
"Bartley, Victor";"D";"NSH"
"Bass, Cody";"C";"NSH"
"Baun, Kyle";"RW";"CHI"
"Beagle, Jay";"C";"WAS"
"Beauchemin, Francois";"D";"COL"
"Beaulieu, Nathan";"D";"MTL"
"Beck, Taylor";"LW";"TOR"
"Beleskey, Matt";"LW";"BOS"
"Bellemare, Pierre-Edouard";"RW";"PHI"
"Benn, Jamie";"LW";"DAL"
"Benn, Jordie";"D";"DAL"
"Bennett, Beau";"RW";"PIT"
"Bennett, Sam";"C";"CGY"
"Benoit, Andre";"D";"STL"
"Bergeron, Patrice";"C";"BOS"
"Berglund, Patrik";"C";"STL"
"Bernier, Jonathan";"G";"TOR"
"Berra, Reto";"G";"COL"
"Berube, J.F.";"G";"LAK"
"Bibeau, Antoine";"G";"TOR"
"Bickell, Bryan";"LW";"CHI"
"Biega, Alex";"D";"VAN"
"Biega, Danny";"D";"CAR"
"Bieksa, Kevin";"D";"ANA"
