"Player";"Position";"Team"
"Aagaard, Mikkel";"C";"CGY"
"Abbott, Spencer";"RW";"CHI"
"Abdelkader, Justin";"LW";"DET"
"Aberg, Pontus";"LW";"NSH"
"Abramov, Vitaly";"RW";"CBS"
"Acciari, Noel";"C";"BOS"
"Acton, Will";"C";"EDM"
"Adam, Luke";"C";"CGY"
"Agostino, Kenny";"LW";"STL"
"Agozzino, Andrew";"LW";"STL"
"Aho, Sebastian";"LW";"CAR"
"Alain, Alexandre";"C";"TAM"
"Alexandrov, Yuri";"D";"MTL"
"Allard, Frederic";"D";"NSH"
"Allen, Conor";"D";"DET"
"Allen, Jake";"G";"STL"
"Alt, Mark";"D";"PHI"
"Altshuller, Daniel";"G";"CAR"
"Alzner, Karl";"D";"WAS"
"Amadio, Michael";"C";"LAK"
"Andersen, Frederik";"G";"TOR"
"Anderson, Craig";"G";"OTT"
"Anderson, Josh";"RW";"CBS"
"Andersson, Rasmus";"D";"CGY"
"Andreoff, Andy";"C";"LAK"
"Andrighetto, Sven";"RW";"MTL"
"Ang, Jonathan";"C";"FLA"
"Angelidis, Mike";"LW";"CGY"
"Anisimov, Artem";"C";"CHI"
"Archibald, Josh";"RW";"PIT"
"Arcobello, Mark";"C";"TOR"
"Armalis, Mantas";"G";"SJS"
"Armia, Joel";"RW";"WPG"
"Arnesson, Linus";"D";"BOS"
"Arvidsson, Viktor";"RW";"NSH"
"Athanasiou, Andreas";"C";"DET"
"Atkinson, Cam";"RW";"CBS"
"Aube-Kubel, Nicolas";"RW";"PHI"
"Aubry, Louis-Marc";"LW";"DET"
"Audette, Daniel";"C";"MTL"
"Auger, Justin";"RW";"LAK"
"Aulie, Keith";"D";"CBS"
"Austin, Brady";"D";"BUF"
"Auvitu, Yohann";"D";"NJD"
"Bachman, Richard";"G";"VAN"
"Backes, David";"C";"BOS"
"Backlund, Mikael";"C";"CGY"
"Backman, Mattias";"D";"DAL"
"Backman, Sean";"RW";"LAK"
"Backstrom, Nicklas";"C";"WAS"
"Baddock, Brandon";"LW";"NJD"
"Baertschi, Sven";"LW";"VAN"
"Bailey, Casey";"C";"OTT"
"Bailey, Josh";"LW";"NYI"
"Bailey, Justin";"RW";"BUF"
"Balisy, Chasen";"C";"FLA"
"Bancks, Carter";"LW";"VAN"
"Bang, Daniel";"LW";"NSH"
"Baptiste, Nicholas";"RW";"BUF"
"Barbashev, Ivan";"LW";"STL"
"Barber, Riley";"RW";"WAS"
"Barberio, Mark";"D";"MTL"
"Bardreau, Cole";"RW";"PHI"
"Barkov, Aleksander";"C";"FLA"
"Barnes, Tyler";"RW";"CHI"
"Barrie, Tyson";"D";"COL"
"Bartkowski, Matt";"D";"OTT"
"Bartley, Victor";"D";"MIN"
"Barzal, Matthew";"C";"NYI"
"Bass, Cody";"C";"NSH"
"Bastian, Nathan";"RW";"NJD"
"Baun, Kyle";"RW";"CHI"
"Beagle, Jay";"C";"WAS"
"Bean, Jake";"D";"CAR"
"Bear, Ethan";"D";"EDM"
"Beauchemin, Francois";"D";"COL"
"Beaudin, Jean-Christophe";"C";"COL"
"Beaulieu, Nathan";"D";"MTL"
"Beaupre, Gabriel";"D";"COL"
"Beauvillier, Anthony";"LW";"NYI"
"Beck, Colton";"LW";"MIN"
"Beck, Taylor";"LW";"EDM"
"Beleskey, Matt";"LW";"BOS"
"Bellemare, Pierre-Edouard";"RW";"PHI"
"Bellows, Kieffer";"LW";"NYI"
"Bengtsson, Lukas";"D";"PIT"
"Benn, Jamie";"LW";"DAL"
"Benn, Jordie";"D";"DAL"
"Bennett, Beau";"RW";"NJD"
"Bennett, Mac";"D";"BUF"
"Bennett, Sam";"C";"CGY"
"Benning, Matthew";"D";"EDM"
"Benoit, Andre";"D";"STL"
"Benson, Tyler";"LW";"EDM"
