Player;Position;Team
Caboclo, Bruno;SF;MEM
Cacok, Devontae;PF;LAL
Caldwell-Pope, Kentavious;SG;LAL
Cancar, Vlatko;SF;DEN
Capela, Clint;C;HOU
Caroline, Jordan;SF;LAL
Carroll, DeMarre;SF;SAS
Carter Jr., Wendell;C;CHI
Carter, Jevon;PG;PHO
Carter-Williams, Michael;PG;ORL
Caruso, Alex;SG;LAL
Cauley-Stein, Willie;C;GSW
Chandler, Tyson;C;HOU
Chandler, Wilson;SF;BKN
Chealey, Joe;PG;CHA
Cheatham, Zylan;SF;NOR
Chiozza, Chris;PG;HOU
Clark, Gary;PF;HOU
Clarke, Brandon;PF;MEM
Clarkson, Jordan;PG;CLE
Claxton, Nicolas;PF;BKN
Clemons, Chris;PG;HOU
Cleveland, Antonius;SG;DAL
Coffey, Amir;SG;LAC
Collins, John;PF;ATL
Collins, Zach;PF;POR
Conley, Mike;PG;UTH
Connaughton, Pat;SG;MIL
Cook, Quinn;PG;LAL
Cook, Tyler;SF;DEN
Cousins, DeMarcus;C;LAL
Covington, Robert;SF;MIN
Crabbe, Allen;SG;ATL
Craig, Torrey;SF;DEN
Crowder, Jae;PF;MEM
Culver, Jarrett;SG;MIN
Curry, Stephen;PG;GSW
Adams, Steven;C;OKC
Adebayo, Bam;C;MIA
Adel, Deng;SF;BKN
Aldridge, LaMarcus;PF;SAS
Alexander, Kyle;PF;MIA
Alexander-Walker, Nickeil;SG;NOR
Allen, Grayson;SG;MEM
Allen, Jarrett;C;BKN
Allen, Kadeem;SG;NYK
Aminu, Al-Farouq;PF;ORL
Anderson, Kyle;SF;MEM
Antetokounmpo, Giannis;PF;MIL
Antetokounmpo, Kostas;PF;LAL
Antetokounmpo, Thanasis;SF;MIL
Anunoby, OG;SF;TOR
Arcidiacono, Ryan;PG;CHI
Ariza, Trevor;SG;SAC
Augustin, D.J.;PG;ORL
Ayton, Deandre;C;PHO
Bacon, Dwayne;SG;CHA
Bagley III, Marvin;PF;SAC
Ball, Lonzo;PG;NOR
Bamba, Mo;C;ORL
Barnes, Harrison;SF;SAC
Barrett, R.J.;SF;NYK
Barton, Will;SG;DEN
Bates-Diop, Keita;SF;MIN
Batum, Nicolas;SF;CHA
Baynes, Aron;C;PHO
Bazemore, Kent;PG;POR
Bazley, Darius;SF;OKC
Beal, Bradley;SG;WAS
Beasley, Malik;SG;DEN
Belinelli, Marco;SG;SAS
Bell, Jordan;PF;MIN
Bembry, DeAndre';SG;ATL
Bender, Dragan;SF;MIL
Bennett, Anthony;PF;HOU
Bertans, Davis;SF;WAS
Beverley, Patrick;PG;LAC
Birch, Khem;C;ORL
Bitadze, Goga;C;IND
Biyombo, Bismack;C;CHA
Bjelica, Nemanja;PF;SAC
Blakeney, Antonio;SG;CHI
Bledsoe, Eric;PG;MIL
Bogdanovic, Bogdan;SG;SAC
Bogdanovic, Bojan;SF;UTH
Bol;C;DEN
Bolden, Jonah;PF;PHI
Bone, Jordan;PG;DET
Bonga, Isaac;PG;WAS
